Contador,Id Do Servidor,Data e Hora no Formato ISO,Latencia,Largura de Banda,Check
1,1758,2019-04-09 15:11:44.056016,11,6.314917687033986,a1017330f0ba1274ccaadee4544993277aea40fc0be3b797d709be4833d4061d
2,10363,2019-04-09 15:12:00.368936,15,6.188976679462654,9f7e4eb6fc3b1f44f00d2653c2cc5fd5a8a633cf86f14b6f75627c289255288f
3,5874,2019-04-09 15:12:16.816358,29,3.5902276195491516,1507160f22d701091cbe50e1bbf386d50b7fddce2ad12232c25adaecc2070620
4,1758,2019-04-09 15:12:33.225229,11,6.325310905809324,8a9f9de3900cf266c15f4b40573f7d147d4fef71a0e29fe0f89e35787a6040de
5,10363,2019-04-09 15:12:49.579671,16,6.279882813638866,9ef566fc6234a0cdbfc2fd4c30089821cae3c868167c59b117c36b48f7af5526
6,4440,2019-04-09 15:13:05.912236,12,5.968363444116385,589751656e8f4fa8dd12110f8054b026af57189d3f5b5b1b7599acbc4bc71953
7,4440,2019-04-09 15:13:22.109307,12,5.595393057860443,0b28a5a10f11644eab63e87f607b4b6849c0204bbe68a78c971d2a6f92ba2a3c
8,19253,2019-04-09 15:13:38.406304,16,5.800787940361899,c314e15e5574d7ce4e7eb0318a9de9db562ec32eb65acf901b2368a3f09a0ce7
9,10183,2019-04-09 15:13:54.852897,11,6.377399721806014,4361d8d3a58ee0a40990ab430467b3bbfe5663b5fe25eaac03a5d86a4d37b210
10,10183,2019-04-09 15:14:11.447098,16,6.321117442056495,456d47203d61a485092228c7da2b10f97bb647d27b5b5efc64c6c3e638334e30
